set_name,D,P,CA6_dual_path_utility,CA7_bounded_bonus_25,CA7_bounded_bonus_50,CA7_bounded_bonus_75,CA0_desirability_only
Mega Evolution,87.1998,0.446603,63.0717,88.629,90.0581,91.4873,87.19980000000001
Prismatic Evolutions,93.2775,0.398772,65.237,93.9477,94.6179,95.2881,93.2775
Chaos Rising,69.8947,0.371909,47.9446,72.6938,75.49289999999999,78.292,69.8947
Phantasmal Flames,90.7445,0.371361,62.2217,91.6038,92.4631,93.3223,90.74449999999999
Surging Sparks,88.8548,0.361884,60.504999999999995,89.8631,90.87140000000001,91.8798,88.8548
Perfect Order,81.6048,0.347123,54.9659,83.2011,84.7975,86.3938,81.6048
Scarlet and Violet Base Set,75.6024,0.334027,50.4278,77.63980000000001,79.6771,81.7145,75.6024
Twilight Masquerade,81.1802,0.325643,53.808,82.7123,84.2445,85.7766,81.1802
Destined Rivals,87.928,0.321052,58.078700000000005,88.8969,89.8659,90.8348,87.928
Journey Together,87.4598,0.299017,56.8059,88.3972,89.3347,90.2721,87.4598
Paradox Rift,86.6458,0.29829,56.2457,87.6417,88.6375,89.6334,86.6458
Temporal Forces,86.0349,0.290161,55.499500000000005,87.0479,88.061,89.074,86.03490000000001
Scarlet and Violet 151,93.6143,0.289636,60.364200000000004,94.0767,94.5391,95.0014,93.6143
Ascended Heroes,95.4809,0.27143,60.6986,95.7876,96.0942,96.40090000000001,95.4809
Stellar Crown,86.3548,0.259192,54.3686,87.239,88.1232,89.0073,86.3548
Obsidian Flames,87.315,0.248412,54.5026,88.1028,88.89059999999999,89.6783,87.315
Shrouded Fable,51.0746,0.233709,31.5056,53.93320000000001,56.7918,59.6503,51.074600000000004
Paldea Evolved,90.3742,0.209423,54.650299999999994,90.87819999999999,91.3821,91.8861,90.3742
Paldean Fates,95.3301,0.198797,57.1407,95.56219999999999,95.79429999999999,96.0264,95.3301
Black Bolt,84.0138,0.136229,47.7294,84.5582,85.1027,85.6471,84.0138
White Flare,87.3,0.135148,49.5492,87.7291,88.1582,88.5873,87.3
