rank,set_name,set_canonical_key,roster_desirability_D,dual_path_depth_P,hit_access_ceiling,desirable_subject_count,multi_printing_subject_count,single_printing_subject_count,eligible_card_count,covered_demand_share,CA6_dual_path_utility,CA7_bounded_bonus_25,CA7_bounded_bonus_50,CA7_bounded_bonus_75,CA0_desirability_only
1,Mega Evolution,megaEvolution,87.1998,0.446603,0.659379,15,6,9,50,1.0,0.630717,0.88629,0.900581,0.914873,0.871998
2,Prismatic Evolutions,prismaticEvolutions,93.2775,0.398772,0.487347,19,12,7,56,1.0,0.65237,0.939477,0.946179,0.952881,0.932775
3,Chaos Rising,chaosRising,69.8947,0.371909,0.654902,10,4,6,34,1.0,0.479446,0.726938,0.754929,0.78292,0.698947
4,Phantasmal Flames,phantasmalFlames,90.7445,0.371361,0.659379,14,6,8,36,1.0,0.622217,0.916038,0.924631,0.933223,0.907445
5,Surging Sparks,surgingSparks,88.8548,0.361884,0.487347,15,7,8,64,1.0,0.60505,0.898631,0.908714,0.918798,0.888548
6,Perfect Order,perfectOrder,81.6048,0.347123,0.683266,13,7,6,33,1.0,0.549659,0.832011,0.847975,0.863938,0.816048
7,Scarlet and Violet Base Set,scarletAndVioletBase,75.6024,0.334027,0.53024,10,6,4,56,1.0,0.504278,0.776398,0.796771,0.817145,0.756024
8,Twilight Masquerade,twilightMasquerade,81.1802,0.325643,0.540461,12,4,8,58,1.0,0.53808,0.827123,0.842445,0.857766,0.811802
9,Destined Rivals,destinedRivals,87.928,0.321052,0.532751,18,6,12,66,1.0,0.580787,0.888969,0.898659,0.908348,0.87928
10,Journey Together,journeyTogether,87.4598,0.299017,0.551186,18,5,13,43,1.0,0.568059,0.883972,0.893347,0.902721,0.874598
11,Paradox Rift,paradoxRift,86.6458,0.29829,0.446395,21,10,11,84,1.0,0.562457,0.876417,0.886375,0.896334,0.866458
12,Temporal Forces,temporalForces,86.0349,0.290161,0.525305,15,4,11,61,1.0,0.554995,0.870479,0.88061,0.89074,0.860349
13,Scarlet and Violet 151,scarletAndViolet151,93.6143,0.289636,0.522879,21,8,13,46,1.0,0.603642,0.940767,0.945391,0.950014,0.936143
14,Ascended Heroes,ascendedHeroes,95.4809,0.27143,0.359483,44,18,26,103,1.0,0.606986,0.957876,0.960942,0.964009,0.954809
15,Stellar Crown,stellarCrown,86.3548,0.259192,0.487347,11,3,8,39,1.0,0.543686,0.87239,0.881232,0.890073,0.863548
16,Obsidian Flames,obsidianFlames,87.315,0.248412,0.40624,12,3,9,46,1.0,0.545026,0.881028,0.888906,0.896783,0.87315
17,Shrouded Fable,shroudedFable,51.0746,0.233709,0.721849,5,0,5,32,1.0,0.315056,0.539332,0.567918,0.596503,0.510746
18,Paldea Evolved,paldeaEvolved,90.3742,0.209423,0.453289,19,6,13,85,1.0,0.546503,0.908782,0.913821,0.918861,0.903742
19,Paldean Fates,paldeanFates,95.3301,0.198797,0.688375,46,5,41,154,1.0,0.571407,0.955622,0.957943,0.960264,0.953301
20,Black Bolt,blackBolt,84.0138,0.136229,0.622063,19,5,14,88,1.0,0.477294,0.845582,0.851027,0.856471,0.840138
21,White Flare,whiteFlare,87.3,0.135148,0.622063,24,3,21,88,1.0,0.495492,0.877291,0.881582,0.885873,0.873
