card_name,set_name,rarity,subject_name,market_price,predicted_price,valuation_gap,price_ratio_actual_over_expected,card_scarcity,subject_demand,alternative_printings_of_subject
Weavile,Paldean Fates,Shiny Rare,Weavile,3.22,32.58,-2.3142,0.099,0.836970999317044,58.7436,1
Toxtricity,Paldean Fates,Shiny Rare,Toxtricity Amped,3.9,39.39,-2.3125,0.099,0.836970999317044,61.7283,1
Bisharp,Paldean Fates,Shiny Rare,Bisharp,2.75,27.34,-2.2968,0.101,0.836970999317044,55.9913,1
Varoom,Paldean Fates,Shiny Rare,Varoom,1.92,18.68,-2.2749,0.103,0.836970999317044,29.2496,1
Rabsca,Paldean Fates,Shiny Rare,Rabsca,2.0,18.68,-2.2341,0.107,0.836970999317044,29.2496,1
Rellor,Paldean Fates,Shiny Rare,Rellor,2.07,18.68,-2.1997,0.111,0.836970999317044,35.6434,1
Grafaiai,Paldean Fates,Shiny Rare,Grafaiai,2.09,18.68,-2.19,0.112,0.836970999317044,47.0102,1
Glimmet,Paldean Fates,Shiny Rare,Glimmet,2.2,18.68,-2.1387,0.118,0.836970999317044,27.3322,1
Revavroom,Paldean Fates,Shiny Rare,Revavroom,2.26,18.68,-2.1118,0.121,0.836970999317044,38.5177,1
Garganacl,Paldean Fates,Shiny Rare,Garganacl,2.28,18.68,-2.103,0.122,0.836970999317044,41.5207,1
Nacli,Paldean Fates,Shiny Rare,Nacli,2.3,18.68,-2.0943,0.123,0.836970999317044,35.6434,1
Naclstack,Paldean Fates,Shiny Rare,Naclstack,2.38,18.68,-2.0601,0.127,0.836970999317044,28.1489,1
Shroodle,Paldean Fates,Shiny Rare,Shroodle,2.38,18.68,-2.0601,0.127,0.836970999317044,37.1951,1
Mabosstiff,Paldean Fates,Shiny Rare,Mabosstiff,2.41,18.68,-2.0476,0.129,0.836970999317044,36.7541,1
Sableye,Paldean Fates,Shiny Rare,Sableye,8.5,64.56,-2.0276,0.132,0.836970999317044,69.4946,1
Scovillain,Paldean Fates,Shiny Rare,Scovillain,2.47,18.68,-2.023,0.132,0.836970999317044,41.0695,1
Flittle,Paldean Fates,Shiny Rare,Flittle,2.49,18.68,-2.0149,0.133,0.836970999317044,31.3722,1
Pineco,Paldean Fates,Shiny Rare,Pineco,2.5,18.68,-2.0109,0.134,0.836970999317044,34.9389,1
Kilowattrel,Paldean Fates,Shiny Rare,Kilowattrel,2.51,18.68,-2.0069,0.134,0.836970999317044,29.6255,1
Cyclizar,Paldean Fates,Shiny Rare,Cyclizar,2.6,18.68,-1.9717,0.139,0.836970999317044,35.1202,1
Mega Gengar ex,Ascended Heroes,Special Illustration Rare,Gengar,1315.52,247.44,1.6708,5.317,1.0,83.4567,3
Mega Venusaur ex,Mega Evolution,Ultra Rare,Venusaur,13.76,2.59,1.672,5.323,0.7132556306822877,54.5988,3
Latias ex,Surging Sparks,Double Rare,Latias,5.3,0.97,1.6936,5.439,0.5126529326323852,56.1733,3
Duskull,Shrouded Fable,Illustration Rare,Duskull,62.14,11.31,1.7037,5.494,0.627636252551653,52.2965,1
Charmander,Scarlet and Violet 151,Illustration Rare,Charmander,106.32,17.42,1.8086,6.102,0.63707892463184,61.7106,1
Wartortle,Scarlet and Violet 151,Illustration Rare,Wartortle,65.73,10.76,1.8096,6.108,0.63707892463184,52.9863,1
Mega Dragonite ex,Ascended Heroes,Special Illustration Rare,Dragonite,794.44,125.78,1.8431,6.316,1.0,74.4633,4
Groudon,Paradox Rift,Illustration Rare,Groudon,117.26,16.99,1.9319,6.903,0.8227111346745459,54.7049,1
Fezandipiti ex,Shrouded Fable,Double Rare,Fezandipiti,3.08,0.45,1.9329,6.909,0.27815125038364363,26.8942,4
Maushold,Paldea Evolved,Illustration Rare,Maushold Family Of Four,102.19,14.25,1.9702,7.172,0.8374305703689058,52.0945,1
Fezandipiti ex,Ascended Heroes,Double Rare,Fezandipiti,3.61,0.5,1.9711,7.179,0.6405166836238638,26.8942,2
Fezandipiti ex,Shrouded Fable,Ultra Rare,Fezandipiti,13.39,1.81,2.0015,7.4,0.5730640178391191,26.8942,4
Mew ex,Paldean Fates,Special Illustration Rare,Mew,1063.77,134.2,2.0703,7.927,0.833726476444977,80.674,2
Charmeleon,Scarlet and Violet 151,Illustration Rare,Charmeleon,72.69,9.13,2.0752,7.966,0.63707892463184,45.7262,1
Gastly,Temporal Forces,Illustration Rare,Gastly,101.81,11.09,2.217,9.18,0.7274224300042551,47.1926,1
Pecharunt ex,Shrouded Fable,Double Rare,Pecharunt,4.64,0.45,2.3426,10.409,0.27815125038364363,35.5094,4
Reshiram ex,White Flare,Black White Rare,Reshiram,496.8,40.9,2.497,12.146,1.0,60.4651,4
Magikarp,Paldea Evolved,Illustration Rare,Magikarp,426.63,28.61,2.7021,14.911,0.8374305703689058,62.6204,1
Seismitoad,Black Bolt,Illustration Rare,Seismitoad,252.19,16.7,2.7145,15.097,0.9641979261283569,43.3843,1
Zekrom ex,Black Bolt,Black White Rare,Zekrom,562.64,23.17,3.1897,24.282,1.0,54.6198,4
